year	municipality	id08	treated	_ID	_CX	_CY	PRO_COM	SHAPE_LEN	SHAPE_AREA
2008.0	"NULVI"	4607	1.0	7824	479369.5322489895	4516278.556945942	90046	42102.9830636	6.73749764102E7
2008.0	"NUMANA"	4608	1.0	4980	873281.244819228	4825360.364150078	42032	15438.7612955	1.09348591303E7
2008.0	"NUORO"	4609	0.0	7777	525443.7821966921	4465476.78735838	91051	69709.521502	1.92058957268E8
2008.0	"NURACHI"	4610	1.0	8054	460912.74328459654	4424158.65424362	95035	18635.8830265	1.59653345913E7
2008.0	"NURAGUS"	4611	1.0	8034	503840.3536523532	4402637.621791078	92115	22625.3782959	1.98991151266E7
2008.0	"NURALLAO"	4612	1.0	8039	508169.53195720265	4406187.123868329	92116	26874.9552661	3.47616736171E7
2008.0	"NURAMINIS"	4613	1.0	8016	501166.61611280515	4365702.972315381	92042	30254.8598213	4.51793631258E7
2008.0	"NURECI"	4614	1.0	8055	496877.76954669657	4406730.586849884	95036	19717.1786261	1.28664761466E7
2008.0	"NURRI"	4615	1.0	8045	518526.57550449256	4395485.090244838	92117	49494.285192	7.36722501893E7
2008.0	"NUS"	4616	1.0	2144	383298.07988201425	5073802.189095131	7045	51309.8819211	5.73543839106E7
2008.0	"NUSCO"	4617	0.0	5540	1014831.3134258094	4543403.375821862	64066	40020.3189542	5.36004493994E7
2008.0	"NUVOLENTO"	4618	1.0	3178	608317.2015883431	5044059.143770313	17119	18605.1896451	7457578.21947
2008.0	"NUVOLERA"	4619	1.0	3179	606651.7261430963	5043197.48579828	17120	20500.6171476	1.33115934709E7
2008.0	"NUXIS"	4620	1.0	7866	479437.9732525122	4333293.87013457	107013	37099.9194768	6.15917723894E7
2008.0	"OCCHIEPPO INFERIORE"	4621	0.0	2566	423751.3600678793	5043892.206331554	96040	9409.94687077	4064481.09429
2008.0	"OCCHIEPPO SUPERIORE"	4622	1.0	2387	421674.681598564	5046902.657574108	96041	19335.1329081	5150322.18426
2008.0	"OCCHIOBELLO"	4623	0.0	4044	705657.4679396787	4977281.487319953	29033	28350.4907286	3.23261333157E7
2008.0	"OCCIMIANO"	4624	1.0	2003	461541.8825599824	4989906.994771982	6115	22361.469783	2.24629006478E7
2008.0	"OCRE"	4625	1.0	5957	868346.845303917	4690453.131828479	66059	24711.7449232	2.36036231297E7
2008.0	"ODALENGO GRANDE"	4626	1.0	2027	434023.3260621902	4994943.727638028	6116	22699.5560856	1.54278791113E7
2008.0	"ODALENGO PICCOLO"	4627	1.0	2047	437462.8252693538	4991463.899695884	6117	13146.7473901	7570737.37372
2008.0	"ODERZO"	4628	0.0	4406	771958.8011098459	5074655.903770959	26051	41591.928346	4.23531754561E7
2008.0	"ODOLO"	4629	1.0	3158	608162.0756205062	5054899.3314759275	17121	11762.0960831	6543885.59069
2008.0	"OFENA"	4630	1.0	5958	891973.5473487569	4697604.610723404	66060	48749.9806906	3.68978333596E7
2008.0	"OFFAGNA"	4631	1.0	1536	859043.0729772516	4829194.743520164	42033	15548.3448735	1.06304959942E7
2008.0	"OFFANENGO"	4632	0.0	515	558696.2929540996	5026109.792632912	19062	16503.3601076	1.25835330269E7
2008.0	"OFFIDA"	4633	0.0	5675	884496.203114177	4764708.890528512	44054	39887.2475279	4.96024922846E7
2008.0	"OFFLAGA"	4634	1.0	3168	586939.5646506274	5026051.197133804	17122	32031.8965805	2.30333418543E7
2008.0	"OGGEBBIO"	4635	1.0	864	472475.2219246702	5093525.354827088	103049	22053.338352	2.14390144718E7
2008.0	"OGGIONA CON SANTO STEFANO"	4636	1.0	2118	485846.9071848262	5060750.645859719	12107	8778.78427775	2745078.44686
2008.0	"OGGIONO"	4637	0.0	3151	526820.8880161352	5070946.498558849	97057	17682.3120712	7957531.93737
2008.0	"OGLIANICO"	4638	1.0	2	397456.89792103914	5019121.5163752455	1170	17006.8306466	6302986.41912
