NR.;CODICE UNIONE;REGIONE;PROVINCIA;DESCRIZIONE UNIONE DI COMUNI;DATA COSTITUZIONE;NR. COMUNI;COMUNI APPARTENENTI ALL'UNIONE;POP. UOMINI;POP. DONNE;POP. TOTALE
3;;;;;;;FELITTO;597;699;1.296
4;;;;;;;LAURINO;840;868;1.708
5;;;;;;;SACCO;273;286;559
6;;;;;;;VALLE DELL'ANGELO;129;151;280
0;4150726050;CAMPANIA;SALERNO;DELL'IRNO;1-Gen-2009;4;;30.983;32.100;63.083
1;;;;;;;BARONISSI;8.242;8.548;16.790
2;;;;;;;FISCIANO;6.793;6.884;13.677
3;;;;;;;MERCATO SAN SEVERINO;10.779;11.257;22.036
4;;;;;;;PELLEZZANO;5.169;5.411;10.580
0;4150726010;CAMPANIA;SALERNO;SANT'ARSENIO, SAN RUFO, SAN PIETRO AL TANAGRO;1-Gen-2002;3;;2.997;3.216;6.213
1;;;;;;;SAN PIETRO AL TANAGRO;837;900;1.737
2;;;;;;;SAN RUFO;838;891;1.729
3;;;;;;;SANT'ARSENIO;1.322;1.425;2.747
0;4150726040;CAMPANIA;SALERNO;UNIONE DEI COMUNI ALTO CILENTO;1-Gen-2004;5;;2.913;3.027;5.940
1;;;;;;;LAUREANA CILENTO;563;588;1.151
2;;;;;;;LUSTRA;546;554;1.100
3;;;;;;;PRIGNANO CILENTO;494;503;997
4;;;;;;;RUTINO;443;446;889
5;;;;;;;TORCHIARA;867;936;1.803
0;4150726070;CAMPANIA;SALERNO;UNIONE DEI COMUNI VELINI;3-Ott-2011;3;;4.049;4.267;8.316
1;;;;;;;CASAL VELINO;2.417;2.521;4.938
2;;;;;;;POLLICA;1.132;1.261;2.393
3;;;;;;;SAN MAURO CILENTO;500;485;985
0;4150726080;CAMPANIA;SALERNO;UNIONE TERRE DELL'AGRO;20-Apr-2013;3;;10.556;10.905;21.461
1;;;;;;;CORBARA;1.240;1.281;2.521
2;;;;;;;SAN MARZANO SUL SARNO;5.030;5.195;10.225
3;;;;;;;SANT'EGIDIO DEL MONTE ALBINO;4.286;4.429;8.715
0;4150726060;CAMPANIA;SALERNO;VALLE DELL'ALENTO;1-Gen-2011;9;;6.642;7.043;13.685
1;;;;;;;CASTELNUOVO CILENTO;1.260;1.338;2.598
2;;;;;;;GIOI;618;721;1.339
3;;;;;;;MOIO DELLA CIVITELLA;899;957;1.856
4;;;;;;;OMIGNANO;785;794;1.579
5;;;;;;;ORRIA;564;597;1.161
6;;;;;;;PERITO;501;506;1.007
7;;;;;;;SALENTO;984;1.021;2.005
