NR.;CODICE UNIONE;REGIONE;PROVINCIA;DESCRIZIONE UNIONE DI COMUNI;DATA COSTITUZIONE;NR. COMUNI;COMUNI APPARTENENTI ALL'UNIONE;POP. UOMINI;POP. DONNE;POP. TOTALE
3;;;;;;;SANT'ELIA FIUMERAPIDO;3.094;3.133;6.227
4;;;;;;;VITICUSO;179;193;372
0;3120336030;LAZIO;FROSINONE;VALLE DI COMINO;1-Gen-2001;5;;3.722;4.096;7.818
1;;;;;;;ALVITO;1.375;1.477;2.852
2;;;;;;;GALLINARO;584;662;1.246
3;;;;;;;SAN DONATO VAL DI COMINO;989;1.133;2.122
4;;;;;;;SETTEFRATI;396;396;792
5;;;;;;;VICALVI;378;428;806
0;3120696010;LAZIO;RIETI;BASSA SABINA;1-Gen-2000;5;;8.019;8.298;16.317
1;;;;;;;CANTALUPO IN SABINA;854;882;1.736
2;;;;;;;FORANO;1.444;1.489;2.933
3;;;;;;;MONTOPOLI DI SABINA;2.109;2.113;4.222
4;;;;;;;POGGIO MIRTETO;2.914;3.081;5.995
5;;;;;;;TARANO;698;733;1.431
0;3120696050;LAZIO;RIETI;DELL'ALTA SABINA;1-Gen-2000;6;;4.315;4.354;8.669
1;;;;;;;CASAPROTA;354;369;723
2;;;;;;;ORVINIO;237;211;448
3;;;;;;;POGGIO MOIANO;1.370;1.428;2.798
4;;;;;;;POZZAGLIA SABINA;175;186;361
5;;;;;;;SCANDRIGLIA;1.481;1.453;2.934
6;;;;;;;TORRICELLA IN SABINA;698;707;1.405
0;3120696030;LAZIO;RIETI;DELLA VAL D'AIA;1-Gen-2000;4;;976;925;1.901
1;;;;;;;CONFIGNI;335;337;672
2;;;;;;;COTTANELLO;288;274;562
3;;;;;;;MONTASOLA;216;187;403
4;;;;;;;VACONE;137;127;264
0;3120696040;LAZIO;RIETI;NOVA SABINA;1-Gen-2000;6;;3.166;3.277;6.443
1;;;;;;;CASPERIA;588;643;1.231
2;;;;;;;MONTEBUONO;470;447;917
3;;;;;;;POGGIO CATINO;650;685;1.335
4;;;;;;;ROCCANTICA;295;310;605
5;;;;;;;SELCI;545;561;1.106
6;;;;;;;TORRI IN SABINA;618;631;1.249
0;3120696060;LAZIO;RIETI;VALLE DEL TEVERE;1-Gen-2001;3;;3.716;3.919;7.635
1;;;;;;;COLLEVECCHIO;780;815;1.595
2;;;;;;;MAGLIANO SABINA;1.830;1.969;3.799
3;;;;;;;STIMIGLIANO;1.106;1.135;2.241
0;3120696020;LAZIO;RIETI;VALLE DELL'OLIO - AREA DI OSTERIA NUOVA;1-Gen-2000;6;;3.474;3.531;7.005
1;;;;;;;CASTELNUOVO DI FARFA;509;538;1.047
2;;;;;;;FRASSO SABINO;338;350;688
3;;;;;;;MONTELEONE SABINO;594;638;1.232
4;;;;;;;POGGIO NATIVO;1.244;1.212;2.456
5;;;;;;;POGGIO SAN LORENZO;292;288;580
6;;;;;;;TOFFIA;497;505;1.002
0;3120706040;LAZIO;ROMA;MEDANIENE;1-Gen-2002;7;;2.823;3.055;5.878
1;;;;;;;ANTICOLI CORRADO;470;472;942
2;;;;;;;ARSOLI;776;871;1.647
3;;;;;;;CINETO ROMANO;316;325;641
4;;;;;;;RIOFREDDO;373;389;762
5;;;;;;;ROVIANO;652;740;1.392
6;;;;;;;VALLINFREDA;152;165;317
7;;;;;;;VIVARO ROMANO;84;93;177
0;3120706020;LAZIO;ROMA;SABINA ROMANA;1-Gen-2002;4;;4.829;4.914;9.743
1;;;;;;;MONTEFLAVIO;663;736;1.399
2;;;;;;;MONTORIO ROMANO;1.011;1.024;2.035
3;;;;;;;NEROLA;909;912;1.821
4;;;;;;;SANT'ANGELO ROMANO;2.246;2.242;4.488
0;3120706080;LAZIO;ROMA;UNIONE  ALTA VALLE DEL SACCO;1-Gen-2005;4;;5.651;5.816;11.467
1;;;;;;;BELLEGRA;1.438;1.510;2.948
2;;;;;;;OLEVANO ROMANO;3.314;3.428;6.742
3;;;;;;;ROCCA SANTO STEFANO;531;497;1.028
4;;;;;;;ROIATE;368;381;749
0;3120706070;LAZIO;ROMA;UNIONE VALLE DEL GIOVENZANO;1-Gen-2004;7;;2.976;2.947;5.923
1;;;;;;;CERRETO LAZIALE;594;598;1.192
2;;;;;;;CICILIANO;689;664;1.353
3;;;;;;;GERANO;625;623;1.248
4;;;;;;;PISONIANO;402;401;803
5;;;;;;;ROCCA CANTERANO;112;95;207
6;;;;;;;SAMBUCI;452;484;936
7;;;;;;;SARACINESCO;102;82;184
0;3120706060;LAZIO;ROMA;VALLE DEL TEVERE - SORATTE;1-Gen-2003;5;;4.150;4.228;8.378
1;;;;;;;CIVITELLA SAN PAOLO;892;862;1.754
2;;;;;;;FILACCIANO;238;252;490
3;;;;;;;NAZZANO;680;681;1.361
4;;;;;;;SANT'ORESTE;1.818;1.884;3.702
5;;;;;;;TORRITA TIBERINA;522;549;1.071
0;3120706010;LAZIO;ROMA;VALLE USTICA;1-Gen-2001;5;;3.167;3.236;6.403
1;;;;;;;LICENZA;520;492;1.012
2;;;;;;;MANDELA;453;444;897
3;;;;;;;PERCILE;138;139;277
4;;;;;;;ROCCAGIOVINE;132;148;280
5;;;;;;;VICOVARO;1.924;2.013;3.937
0;1070346050;LIGURIA;GENOVA;LE VALLI DELL'ENTELLA;9-Dic-2014;3;;3.023;3.086;6.109
1;;;;;;;BORZONASCA;1.045;1.079;2.124
2;;;;;;;MEZZANEGO;798;826;1.624
3;;;;;;;NE;1.180;1.181;2.361
0;1070346010;LIGURIA;GENOVA;STURA ORBA E LEIRA;1-Gen-2011;5;;6.321;6.681;13.002
1;;;;;;;CAMPO LIGURE;1.492;1.553;3.045
2;;;;;;;MASONE;1.828;1.930;3.758
3;;;;;;;MELE;1.301;1.386;2.687
4;;;;;;;ROSSIGLIONE;1.402;1.530;2.932
5;;;;;;;TIGLIETO;298;282;580
0;1070346040;LIGURIA;GENOVA;UNIONE DEI COMUNI ALTA VAL TREBBIA;5-Dic-2014;7;;795;701;1.496
1;;;;;;;FASCIA;56;44;100
2;;;;;;;FONTANIGORDA;140;134;274
3;;;;;;;GORRETO;49;58;107
4;;;;;;;MONTEBRUNO;124;93;217
5;;;;;;;PROPATA;92;69;161
6;;;;;;;RONDANINA;42;27;69
7;;;;;;;ROVEGNO;292;276;568
0;1070346030;LIGURIA;GENOVA;UNIONE DEI COMUNI DEL GOLFO PARADISO;24-Nov-2014;3;;5.451;6.021;11.472
1;;;;;;;BOGLIASCO;2.099;2.387;4.486
2;;;;;;;PIEVE LIGURE;1.255;1.327;2.582
3;;;;;;;SORI;2.097;2.307;4.404
0;1070346070;LIGURIA;GENOVA;UNIONE DEI COMUNI DELLA VALLE DEL TEMPO;9-Dic-2014;2;;2.372;2.442;4.814
1;;;;;;;AVEGNO;1.249;1.290;2.539
2;;;;;;;USCIO;1.123;1.152;2.275
0;1070346020;LIGURIA;GENOVA;UNIONE DEI COMUNI DELLO SCRIVIA;21-Feb-2014;9;;11.013;11.177;22.190
1;;;;;;;BUSALLA;2.784;2.957;5.741
2;;;;;;;CASELLA;1.633;1.599;3.232
3;;;;;;;CROCEFIESCHI;280;281;561
4;;;;;;;ISOLA DEL CANTONE;776;759;1.535
5;;;;;;;MONTOGGIO;1.021;1.041;2.062
6;;;;;;;RONCO SCRIVIA;2.228;2.330;4.558
7;;;;;;;SAVIGNONE;1.597;1.629;3.226
8;;;;;;;VALBREVENNA;447;365;812
9;;;;;;;VOBBIA;247;216;463
0;1070346060;LIGURIA;GENOVA;UNIONE DEI COMUNI MONTANI DELL'ALTA VAL D'AVETO;5-Dic-2014;2;;1.147;1.150;2.297
1;;;;;;;REZZOAGLIO;536;544;1.080
2;;;;;;;SANTO STEFANO D'AVETO;611;606;1.217
0;1070376030;LIGURIA;IMPERIA;UNIONE DEI COMUNI DELL'ALTA VALLE ARROSCIA;4-Nov-2014;11;;2.257;2.278;4.535
1;;;;;;;AQUILA D'ARROSCIA;84;92;176
2;;;;;;;ARMO;58;66;124
3;;;;;;;BORGHETTO D'ARROSCIA;234;229;463
4;;;;;;;COSIO D'ARROSCIA;119;129;248
5;;;;;;;MENDATICA;101;104;205
6;;;;;;;MONTEGROSSO PIAN LATTE;60;61;121
7;;;;;;;PIEVE DI TECO;682;718;1.400
8;;;;;;;PORNASSIO;301;283;584
9;;;;;;;RANZO;278;278;556
10;;;;;;;REZZO;190;181;371
11;;;;;;;VESSALICO;150;137;287
0;1070376060;LIGURIA;IMPERIA;UNIONE DEI COMUNI DELLA VALLE DEL SAN LORENZO;24-Apr-2015;5;;2.251;2.377;4.628
1;;;;;;;CIPRESSA;614;657;1.271
2;;;;;;;CIVEZZA;323;317;640
3;;;;;;;COSTARAINERA;382;421;803
4;;;;;;;PIETRABRUNA;276;265;541
5;;;;;;;SAN LORENZO AL MARE;656;717;1.373
0;1070376010;LIGURIA;IMPERIA;UNIONE DEI COMUNI DELLE VALLI ARGENTINA E ARMEA;5-Dic-2014;5;;1.864;1.891;3.755
1;;;;;;;BADALUCCO;577;613;1.190
2;;;;;;;BAJARDO;157;155;312
3;;;;;;;CERIANA;637;616;1.253
4;;;;;;;MOLINI DI TRIORA;316;310;626
5;;;;;;;TRIORA;177;197;374
0;1070376040;LIGURIA;IMPERIA;UNIONE DEI COMUNI DELLE VALLI NERVIA E ROIA;20-Gen-2015;8;;2.684;2.790;5.474
1;;;;;;;AIROLE;239;222;461
2;;;;;;;APRICALE;319;306;625
3;;;;;;;CASTEL VITTORIO;163;166;329
4;;;;;;;DOLCEACQUA;969;1.021;1.990
5;;;;;;;ISOLABONA;314;364;678
6;;;;;;;OLIVETTA SAN MICHELE;116;109;225
7;;;;;;;PIGNA;429;465;894
8;;;;;;;ROCCHETTA NERVINA;135;137;272
0;1070376020;LIGURIA;IMPERIA;UNIONE DEI COMUNI MONTANI DELLA VALLE PRINO;6-Dic-2014;3;;1.176;1.199;2.375
1;;;;;;;DOLCEDO;713;738;1.451
2;;;;;;;PRELA';251;249;500
3;;;;;;;VASIA;212;212;424
0;1070376070;LIGURIA;IMPERIA;UNIONE VILLAREGIA;20-Mag-2015;3;;2.082;2.244;4.326
1;;;;;;;CASTELLARO;600;633;1.233
2;;;;;;;RIVA LIGURE;1.369;1.492;2.861
3;;;;;;;TERZORIO;113;119;232
0;1070396030;LIGURIA;LA SPEZIA;UNIONE DEI COMUNI CINQUE TERRE-RIVIERA;9-Dic-2014;4;;1.914;2.143;4.057
1;;;;;;;BONASSOLA;468;527;995
2;;;;;;;DEIVA MARINA;683;755;1.438
3;;;;;;;FRAMURA;315;368;683
4;;;;;;;VERNAZZA;448;493;941
0;1070396020;LIGURIA;LA SPEZIA;UNIONE DEI COMUNI DELLA VAL DI VARA;6-Dic-2014;5;;2.554;2.619;5.173
1;;;;;;;BRUGNATO;619;647;1.266
2;;;;;;;CALICE AL CORNOVIGLIO;567;579;1.146
3;;;;;;;ROCCHETTA DI VARA;402;383;785
4;;;;;;;SESTA GODANO;711;741;1.452
5;;;;;;;ZIGNAGO;255;269;524
0;1070746010;LIGURIA;SAVONA;UNIONE DEI COMUNI DEL BEIGUA;3-Dic-2014;2;;1.317;1.334;2.651
1;;;;;;;SASSELLO;949;933;1.882
2;;;;;;;URBE;368;401;769
0;1070746050;LIGURIA;SAVONA;UNIONE DEI COMUNI DEL FINALESE;30-Apr-2015;2;;5.978;6.641;12.619
1;;;;;;;FINALE LIGURE;5.539;6.185;11.724
2;;;;;;;ORCO FEGLINO;439;456;895
0;1070746060;LIGURIA;SAVONA;UNIONE DEI COMUNI DELLA VAL MAREMOLA;29-Dic-2015;3;;2.200;2.152;4.352
1;;;;;;;GIUSTENICE;482;464;946
2;;;;;;;MAGLIOLO;485;432;917
3;;;;;;;TOVO SAN GIACOMO;1.233;1.256;2.489
0;1070746040;LIGURIA;SAVONA;UNIONE DEI COMUNI DELLA VITE E DELL'ULIVO;15-Gen-2015;4;;1.680;1.680;3.360
1;;;;;;;ARNASCO;332;298;630
2;;;;;;;CASANOVA LERRONE;368;376;744
3;;;;;;;ORTOVERO;787;796;1.583
4;;;;;;;VENDONE;193;210;403
0;1070746030;LIGURIA;SAVONA;UNIONE DEI COMUNI VALMERULA E MONTAROSIO;30-Gen-2015;5;;4.522;4.907;9.429
1;;;;;;;ANDORA;3.527;3.943;7.470
2;;;;;;;CESIO;142;144;286
3;;;;;;;CHIUSANICO;302;301;603
4;;;;;;;STELLANELLO;445;413;858
5;;;;;;;TESTICO;106;106;212
0;1030126030;LOMBARDIA;BERGAMO;ALME' E VILLA D'ALME';1-Gen-2002;2;;6.078;6.398;12.476
1;;;;;;;ALME';2.747;2.918;5.665
2;;;;;;;VILLA D'ALME';3.331;3.480;6.811
0;1030126020;LOMBARDIA;BERGAMO;DELLA PRESOLANA;1-Gen-2000;6;;5.846;5.887;11.733
1;;;;;;;CASTIONE DELLA PRESOLANA;1.729;1.726;3.455
2;;;;;;;CERETE;831;815;1.646
3;;;;;;;FINO DEL MONTE;567;564;1.131
4;;;;;;;ONORE;417;429;846
5;;;;;;;ROVETTA;1.954;1.999;3.953
6;;;;;;;SONGAVAZZO;348;354;702
0;1030126090;LOMBARDIA;BERGAMO;TERRE DEL SERIO;25-Mar-2014;5;;8.594;8.312;16.906
1;;;;;;;BARIANO;2.267;2.083;4.350
2;;;;;;;FORNOVO SAN GIOVANNI;1.663;1.656;3.319
3;;;;;;;MORENGO;1.279;1.302;2.581
4;;;;;;;MOZZANICA;2.313;2.261;4.574
5;;;;;;;PAGAZZANO;1.072;1.010;2.082
0;1030126060;LOMBARDIA;BERGAMO;UNIONE COMUNALE DEI COLLI;26-Gen-2012;7;;14.148;14.122;28.270
1;;;;;;;BAGNATICA;2.057;2.097;4.154
2;;;;;;;BRUSAPORTO;2.685;2.708;5.393
3;;;;;;;CENATE SOPRA;1.241;1.264;2.505
4;;;;;;;CENATE SOTTO;1.751;1.743;3.494
5;;;;;;;GORLAGO;2.541;2.487;5.028
6;;;;;;;SAN PAOLO D'ARGON;2.705;2.681;5.386
7;;;;;;;TORRE DE' ROVERI;1.168;1.142;2.310
0;1030126110;LOMBARDIA;BERGAMO;UNIONE DI COMUNI ALTO SERIO;4-Ott-2014;4;;2.030;1.947;3.977
1;;;;;;;GANDELLINO;545;501;1.046
2;;;;;;;GROMO;645;594;1.239
3;;;;;;;VALBONDIONE;541;544;1.085
4;;;;;;;VALGOGLIO;299;308;607
0;1030126100;LOMBARDIA;BERGAMO;UNIONE DI COMUNI LOMBARDA ASTA DEL SERIO;14-Mag-2014;3;;2.877;2.900;5.777
1;;;;;;;ARDESIO;1.824;1.808;3.632
2;;;;;;;OLTRESSENDA ALTA;90;84;174
3;;;;;;;VILLA D'OGNA;963;1.008;1.971
0;1030126070;LOMBARDIA;BERGAMO;UNIONE INSIEME SUL SERIO;5-Ott-2012;6;;14.979;15.487;30.466
1;;;;;;;AVIATICO;273;244;517
2;;;;;;;GAZZANIGA;2.460;2.700;5.160
3;;;;;;;NEMBRO;5.668;5.874;11.542
4;;;;;;;PRADALUNGA;2.296;2.340;4.636
5;;;;;;;SELVINO;992;999;1.991
6;;;;;;;VILLA DI SERIO;3.290;3.330;6.620
0;1030126010;LOMBARDIA;BERGAMO;UNIONE MEDIA VALLE CAVALLINA;1-Gen-1998;3;;1.627;1.606;3.233
1;;;;;;;BORGO DI TERZO;541;549;1.090
2;;;;;;;LUZZANA;450;441;891
3;;;;;;;VIGANO SAN MARTINO;636;616;1.252
0;1030156100;LOMBARDIA;BRESCIA;ALPI OROBIE BRESCIANE;1-Gen-2010;5;;5.547;5.765;11.312
1;;;;;;;CORTENO GOLGI;1.006;1.009;2.015
2;;;;;;;EDOLO;2.176;2.333;4.509
3;;;;;;;MALONNO;1.618;1.702;3.320
4;;;;;;;PAISCO LOVENO;99;99;198
5;;;;;;;SONICO;648;622;1.270
0;1030156030;LOMBARDIA;BRESCIA;ALTA VALLECAMONICA;1-Gen-2000;6;;2.908;3.095;6.003
1;;;;;;;INCUDINE;203;200;403
2;;;;;;;MONNO;267;297;564
3;;;;;;;PONTE DI LEGNO;855;899;1.754
4;;;;;;;TEMU';529;554;1.083
5;;;;;;;VEZZA D'OGLIO;725;751;1.476
6;;;;;;;VIONE;329;394;723
0;1030156090;LOMBARDIA;BRESCIA;BASSA VALLE CAMONICA;1-Gen-2010;3;;5.096;5.071;10.167
1;;;;;;;ARTOGNE;1.795;1.776;3.571
2;;;;;;;GIANICO;1.085;1.111;2.196
3;;;;;;;PIAN CAMUNO;2.216;2.184;4.400
0;1030156020;LOMBARDIA;BRESCIA;DELLA VALSAVIORE;1-Gen-2000;5;;3.158;3.236;6.394
1;;;;;;;BERZO DEMO;860;860;1.720
2;;;;;;;CEDEGOLO;606;640;1.246
3;;;;;;;CEVO;474;456;930
4;;;;;;;SAVIORE DELL'ADAMELLO;466;526;992
5;;;;;;;SELLERO;752;754;1.506
0;1030156130;LOMBARDIA;BRESCIA;TERRA DEL CHIESE E NAVIGLIO;29-Gen-2016;3;;3.790;3.813;7.603
1;;;;;;;ACQUAFREDDA;767;812;1.579
2;;;;;;;ISORELLA;2.044;2.047;4.091
3;;;;;;;VISANO;979;954;1.933
0;1030156110;LOMBARDIA;BRESCIA;UNIONE DEGLI ANTICHI BORGHI DI VALLECAMONICA;19-Ott-2011;3;;4.371;4.577;8.948
1;;;;;;;BRENO;2.382;2.538;4.920
2;;;;;;;MALEGNO;1.029;1.049;2.078
3;;;;;;;NIARDO;960;990;1.950
0;1030156010;LOMBARDIA;BRESCIA;UNIONE DEI COMUNI CETO CIMBERGO PASPARDO;1-Gen-1998;2;;602;606;1.208
1;;;;;;;CIMBERGO;265;297;562
2;;;;;;;PASPARDO;337;309;646
0;1030156080;LOMBARDIA;BRESCIA;UNIONE DEI COMUNI LOMBARDA BASSA BRESCIANA OCCIDENTALE;1-Gen-2010;9;;16.596;16.350;32.946
1;;;;;;;BARBARIGA;1.211;1.177;2.388
2;;;;;;;LOGRATO;1.905;1.888;3.793
3;;;;;;;LONGHENA;315;292;607
4;;;;;;;MACLODIO;780;721;1.501
5;;;;;;;ORZINUOVI;6.164;6.179;12.343
6;;;;;;;ORZIVECCHI;1.270;1.215;2.485
7;;;;;;;POMPIANO;1.964;1.929;3.893
8;;;;;;;SAN PAOLO;2.283;2.221;4.504
9;;;;;;;VILLACHIARA;704;728;1.432
0;1030156140;LOMBARDIA;BRESCIA;UNIONE LOMBARDA DEI COMUNI DI PONTEVICO E ROBECCO D'OGLIO;28-Ott-2017;2;;4.455;5.104;9.559
1;;;;;;;PONTEVICO;3.318;3.803;7.121
2;;;;;;;ROBECCO D'OGLIO;1.137;1.301;2.438
0;1030156070;LOMBARDIA;BRESCIA;UNIONE MEDIA VALLE CAMONICA CIVILTA' DELLE PIETRE;1-Gen-2010;5;;2.641;2.781;5.422
1;;;;;;;BRAONE;324;333;657
2;;;;;;;CAPO DI PONTE;1.200;1.309;2.509
3;;;;;;;CERVENO;340;323;663
4;;;;;;;LOSINE;288;303;591
5;;;;;;;ONO SAN PIETRO;489;513;1.002
0;1030156050;LOMBARDIA;BRESCIA;VALLE DEL GARZA;1-Gen-2003;2;;6.444;6.592;13.036
1;;;;;;;CAINO;1.052;1.027;2.079
2;;;;;;;NAVE;5.392;5.565;10.957
0;1030156040;LOMBARDIA;BRESCIA;VALTENESI;1-Gen-2002;2;;3.610;3.728;7.338
1;;;;;;;MANERBA DEL GARDA;2.412;2.490;4.902
2;;;;;;;MONIGA DEL GARDA;1.198;1.238;2.436
0;1030246050;LOMBARDIA;COMO;UNIONE DEI COMUNI LARIO E MONTI;1-Gen-2007;7;;2.973;3.149;6.122
1;;;;;;;BLEVIO;555;630;1.185
2;;;;;;;FAGGETO LARIO;622;613;1.235
3;;;;;;;NESSO;603;638;1.241
4;;;;;;;POGNANA LARIO;369;395;764
5;;;;;;;TORNO;580;623;1.203
6;;;;;;;VELESO;137;137;274
7;;;;;;;ZELBIO;107;113;220
0;1030246020;LOMBARDIA;COMO;UNIONE DI COMUNI LOMBARDA TERRE DI FRONTIERA UGGIATE TREVANO;1-Gen-2002;4;;5.972;6.024;11.996
1;;;;;;;BIZZARONE;750;767;1.517
2;;;;;;;FALOPPIO;2.143;2.131;4.274
3;;;;;;;RONAGO;878;876;1.754
4;;;;;;;UGGIATE-TREVANO;2.201;2.250;4.451
0;1030266020;LOMBARDIA;CREMONA;CALVATONE E TORNATA;1-Gen-1999;2;;885;866;1.751
1;;;;;;;CALVATONE;639;621;1.260
2;;;;;;;TORNATA;246;245;491
0;1030266090;LOMBARDIA;CREMONA;DEI FONTANILI;1-Gen-2003;6;;6.517;6.606;13.123
1;;;;;;;CASALETTO DI SOPRA;283;265;548
2;;;;;;;IZANO;1.039;1.029;2.068
3;;;;;;;OFFANENGO;2.907;2.962;5.869
4;;;;;;;ROMANENGO;1.489;1.532;3.021
5;;;;;;;SALVIROLA;583;586;1.169
6;;;;;;;TICENGO;216;232;448
0;1030266025;LOMBARDIA;CREMONA;FOEDUS;1-Gen-2001;3;;1.678;1.608;3.286
1;;;;;;;CASTELDIDONE;313;263;576
2;;;;;;;RIVAROLO DEL RE ED UNITI;1.060;1.017;2.077
3;;;;;;;SPINEDA;305;328;633
0;1030266040;LOMBARDIA;CREMONA;MUNICIPIA;1-Gen-2001;3;;1.439;1.480;2.919
1;;;;;;;MOTTA BALUFFI;486;494;980
2;;;;;;;SAN MARTINO DEL LAGO;240;233;473
3;;;;;;;SCANDOLARA RAVARA;713;753;1.466
0;1030266050;LOMBARDIA;CREMONA;SOLAROLO RAINERIO - S.GIOVANNI IN CROCE - VOLTIDO;1-Gen-2001;3;;1.622;1.665;3.287
1;;;;;;;SAN GIOVANNI IN CROCE;908;967;1.875
2;;;;;;;SOLAROLO RAINERIO;496;511;1.007
3;;;;;;;VOLTIDO;218;187;405
0;1030266110;LOMBARDIA;CREMONA;TERRAE NOBILIS;7-Ott-2014;3;;2.079;2.020;4.099
1;;;;;;;CELLA DATI;275;278;553
2;;;;;;;DEROVERE;151;159;310
3;;;;;;;SOSPIRO;1.653;1.583;3.236
0;1030266100;LOMBARDIA;CREMONA;TERRE DI PIEVI E CASTELLI;6-Feb-2014;1;;1.115;1.134;2.249
1;;;;;;;TORRE DE' PICENARDI;1.115;1.134;2.249
0;1030266150;LOMBARDIA;CREMONA;UNIONE DEI COMUNI CENTURIATI DI BONEMERSE E MALAGNINO;22-Gen-2015;2;;1.489;1.521;3.010
1;;;;;;;BONEMERSE;740;745;1.485
2;;;;;;;MALAGNINO;749;776;1.525
0;1030266140;LOMBARDIA;CREMONA;UNIONE DEI COMUNI LOMBARDA TRE VILLE;9-Lug-2015;3;;1.876;1.953;3.829
1;;;;;;;ACQUANEGRA CREMONESE;623;679;1.302
2;;;;;;;CROTTA D'ADDA;318;336;654
3;;;;;;;GRUMELLO CREMONESE ED UNITI;935;938;1.873
0;1030266130;LOMBARDIA;CREMONA;UNIONE DEL DELMONA;26-Mar-2015;2;;2.679;2.708;5.387
1;;;;;;;GADESCO PIEVE DELMONA;1.010;1.005;2.015
2;;;;;;;PERSICO DOSIMO;1.669;1.703;3.372
0;1030266060;LOMBARDIA;CREMONA;UNIONE DI COMUNI LOMBARDA DI CASALBUTTANO ED UNITI, CORTE DE' CORTESI CON CIGNONE;1-Gen-2002;2;;2.509;2.717;5.226
1;;;;;;;CASALBUTTANO ED UNITI;1.944;2.159;4.103
2;;;;;;;CORTE DE' CORTESI CON CIGNONE;565;558;1.123
0;1030266180;LOMBARDIA;CREMONA;UNIONE DI COMUNI LOMBARDA TERRA DI CASCINE;3-Feb-2017;2;;3.554;3.568;7.122
1;;;;;;;CASTELVERDE;2.797;2.854;5.651
2;;;;;;;POZZAGLIO ED UNITI;757;714;1.471
0;1030266160;LOMBARDIA;CREMONA;UNIONE LOMBARDA DEI COMUNI FLUVIALIS CIVITAS;21-Nov-2015;3;;2.136;2.136;4.272
1;;;;;;;GERRE DE' CAPRIOLI;651;632;1.283
2;;;;;;;SAN DANIELE PO;702;717;1.419
3;;;;;;;STAGNO LOMBARDO;783;787;1.570
0;1030266070;LOMBARDIA;CREMONA;UNIONE LOMBARDA DEI COMUNI OGLIO - CIRIA;1-Gen-2002;4;;2.249;2.233;4.482
1;;;;;;;CORTE DE' FRATI;717;706;1.423
2;;;;;;;GRONTARDO;745;724;1.469
3;;;;;;;OLMENETA;464;503;967
4;;;;;;;SCANDOLARA RIPA D'OGLIO;323;300;623
0;1030266030;LOMBARDIA;CREMONA;UNIONE LOMBARDA SORESINESE;1-Gen-2001;10;;10.115;10.754;20.869
1;;;;;;;ANNICCO;1.023;1.052;2.075
2;;;;;;;AZZANELLO;353;364;717
3;;;;;;;CASALMORANO;813;867;1.680
4;;;;;;;CASTELVISCONTI;175;155;330
5;;;;;;;CUMIGNANO SUL NAVIGLIO;227;220;447
6;;;;;;;GENIVOLTA;580;598;1.178
7;;;;;;;PADERNO PONCHIELLI;693;787;1.480
8;;;;;;;SAN BASSANO;1.053;1.154;2.207
9;;;;;;;SORESINA;4.335;4.660;8.995
10;;;;;;;TRIGOLO;863;897;1.760
0;1030266170;LOMBARDIA;CREMONA;UNIONE LOMBARDA TERRAE FLUMINIS;9-Apr-2016;3;;2.684;2.760;5.444
1;;;;;;;GUSSOLA;1.406;1.467;2.873
2;;;;;;;MARTIGNANA DI PO;942;951;1.893
3;;;;;;;TORRICELLA DEL PIZZO;336;342;678
0;1030986030;LOMBARDIA;LECCO;UNIONE DEI COMUNI DELLA VALLETTA;1-Gen-2004;2;;3.469;3.414;6.883
1;;;;;;;LA VALLETTA BRIANZA;2.323;2.353;4.676
2;;;;;;;SANTA MARIA HOE';1.146;1.061;2.207
0;1030996010;LOMBARDIA;LODI;OLTRE ADDA LODIGIANO;1-Gen-2001;2;;946;901;1.847
1;;;;;;;ABBADIA CERRETO;148;149;297
2;;;;;;;CORTE PALASIO;798;752;1.550
0;1030996030;LOMBARDIA;LODI;UNIONE LODIGIANA GRIFONE;15-Feb-2016;2;;2.975;2.904;5.879
1;;;;;;;CASALETTO LODIGIANO;1.370;1.409;2.779
2;;;;;;;CASELLE LURANI;1.605;1.495;3.100
0;1030996020;LOMBARDIA;LODI;UNIONE NORD LODIGIANO;10-Apr-2014;4;;6.472;6.587;13.059
1;;;;;;;CASALMAIOCCO;1.531;1.538;3.069
2;;;;;;;CERVIGNANO D'ADDA;1.059;1.060;2.119
3;;;;;;;MERLINO;899;873;1.772
4;;;;;;;TAVAZZANO CON VILLAVESCO;2.983;3.116;6.099
0;1030456120;LOMBARDIA;MANTOVA;UNIONE DEI COLLI MANTOVANI;22-Nov-2016;2;;5.973;6.162;12.135
1;;;;;;;MONZAMBANO;2.428;2.409;4.837
2;;;;;;;VOLTA MANTOVANA;3.545;3.753;7.298
0;1030456080;LOMBARDIA;MANTOVA;UNIONE DEI COMUNI DI CASTELLI MORENICI;18-Set-2015;3;;4.290;4.551;8.841
1;;;;;;;MEDOLE;1.949;2.089;4.038
2;;;;;;;PONTI SUL MINCIO;1.110;1.162;2.272
3;;;;;;;SOLFERINO;1.231;1.300;2.531
0;1030456130;LOMBARDIA;MANTOVA;UNIONE DEI COMUNI LOMBARDA TERRA DEI GONZAGA;27-Dic-2016;2;;3.295;3.494;6.789
1;;;;;;;BOZZOLO;2.030;2.151;4.181
2;;;;;;;RIVAROLO MANTOVANO;1.265;1.343;2.608
0;1030456040;LOMBARDIA;MANTOVA;UNIONE DELLE TORRI;20-Feb-2014;3;;2.501;2.531;5.032
1;;;;;;;GAZOLDO DEGLI IPPOLITI;1.492;1.476;2.968
2;;;;;;;MARIANA MANTOVANA;348;381;729
3;;;;;;;REDONDESCO;661;674;1.335
